Area Type,Area Name,Year,Period,Labor Force,Employment,Unemployment,Unemployment Rate,Seasonally Adjusted (Y N),Status
County,Alameda County,2009,Annual,760900,682900,78000,10.3%,N,Final
County,Alpine County,2009,Annual,450,380,60,14.1%,N,Final
County,Amador County,2009,Annual,17820,15780,2040,11.4%,N,Final
County,Butte County,2009,Annual,103700,91000,12700,12.3%,N,Final
County,Calaveras County,2009,Annual,20330,17560,2760,13.6%,N,Final
County,Colusa County,2009,Annual,11520,9490,2030,17.6%,N,Final
County,Contra Costa County,2009,Annual,524800,472600,52200,10%,N,Final
County,Del Norte County,2009,Annual,11680,10300,1380,11.8%,N,Final
County,El Dorado County,2009,Annual,91700,81700,10000,10.9%,N,Final
County,Fresno County,2009,Annual,434000,370300,63700,14.7%,N,Final
County,Glenn County,2009,Annual,12580,10800,1780,14.1%,N,Final
County,Humboldt County,2009,Annual,60800,54300,6500,10.7%,N,Final
County,Imperial County,2009,Annual,75600,54900,20700,27.4%,N,Final
County,Inyo County,2009,Annual,9390,8550,840,9%,N,Final
County,Kern County,2009,Annual,362700,311700,51000,14.1%,N,Final
County,Kings County,2009,Annual,60500,51900,8600,14.2%,N,Final
County,Lake County,2009,Annual,25370,21570,3810,15%,N,Final
County,Lassen County,2009,Annual,13560,11890,1670,12.3%,N,Final
County,Los Angeles County,2009,Annual,4914700,4345200,569500,11.6%,N,Final
County,Madera County,2009,Annual,66500,57600,8900,13.4%,N,Final
County,Marin County,2009,Annual,132000,122100,9900,7.5%,N,Final
County,Mariposa County,2009,Annual,9400,8430,970,10.3%,N,Final
County,Mendocino County,2009,Annual,43310,38960,4350,10%,N,Final
County,Merced County,2009,Annual,105400,87900,17500,16.6%,N,Final
County,Modoc County,2009,Annual,4040,3560,490,12.1%,N,Final
County,Mono County,2009,Annual,8740,7970,770,8.8%,N,Final
County,Monterey County,2009,Annual,215400,190600,24800,11.5%,N,Final
County,Napa County,2009,Annual,75600,69200,6300,8.4%,N,Final
County,Nevada County,2009,Annual,50380,45210,5170,10.3%,N,Final
County,Orange County,2009,Annual,1589300,1451700,137600,8.7%,N,Final
County,Placer County,2009,Annual,179700,161400,18300,10.2%,N,Final
County,Plumas County,2009,Annual,10020,8480,1540,15.4%,N,Final
County,Riverside County,2009,Annual,915800,795800,120000,13.1%,N,Final
County,Sacramento County,2009,Annual,681100,606100,75000,11%,N,Final
County,San Benito County,2009,Annual,24900,21400,3500,14%,N,Final
County,San Bernardino County,2009,Annual,857700,749100,108600,12.7%,N,Final
County,San Diego County,2009,Annual,1554300,1408300,146000,9.4%,N,Final
County,San Francisco County,2009,Annual,459400,419500,39900,8.7%,N,Final
County,San Joaquin County,2009,Annual,297800,253300,44500,14.9%,N,Final
County,San Luis Obispo County,2009,Annual,136400,124400,12000,8.8%,N,Final
County,San Mateo County,2009,Annual,374200,343500,30700,8.2%,N,Final
County,Santa Barbara County,2009,Annual,220000,201900,18100,8.2%,N,Final
County,Santa Clara County,2009,Annual,875000,782400,92600,10.6%,N,Final
County,Santa Cruz County,2009,Annual,147700,131300,16400,11.1%,N,Final
County,Shasta County,2009,Annual,84000,71900,12000,14.3%,N,Final
County,Sierra County,2009,Annual,1600,1360,240,14.9%,N,Final
County,Siskiyou County,2009,Annual,19630,16840,2800,14.2%,N,Final
County,Solano County,2009,Annual,214500,192200,22300,10.4%,N,Final
County,Sonoma County,2009,Annual,256500,232400,24100,9.4%,N,Final
County,Stanislaus County,2009,Annual,234500,198100,36400,15.5%,N,Final
County,Sutter County,2009,Annual,41900,35000,6900,16.5%,N,Final
County,Tehama County,2009,Annual,25340,21890,3460,13.6%,N,Final
County,Trinity County,2009,Annual,4990,4150,840,16.8%,N,Final
County,Tulare County,2009,Annual,203200,173000,30200,14.9%,N,Final
County,Tuolumne County,2009,Annual,25720,22590,3130,12.2%,N,Final
County,Ventura County,2009,Annual,430300,388800,41500,9.6%,N,Final
County,Yolo County,2009,Annual,98700,87900,10900,11%,N,Final
County,Yuba County,2009,Annual,28300,23600,4800,16.8%,N,Final
County,Alameda County,2008,Annual,756400,709400,47000,6.2%,N,Final
County,Alpine County,2008,Annual,470,420,50,10.5%,N,Final
County,Amador County,2008,Annual,17800,16430,1370,7.7%,N,Final
County,Butte County,2008,Annual,102800,94100,8700,8.5%,N,Final
County,Calaveras County,2008,Annual,20620,18830,1790,8.7%,N,Final
County,Colusa County,2008,Annual,10500,9040,1450,13.8%,N,Final
County,Contra Costa County,2008,Annual,523700,491100,32600,6.2%,N,Final
County,Del Norte County,2008,Annual,11360,10360,1000,8.8%,N,Final
County,El Dorado County,2008,Annual,90600,84300,6300,7%,N,Final
County,Fresno County,2008,Annual,429700,384300,45400,10.6%,N,Final
County,Glenn County,2008,Annual,12180,10900,1280,10.5%,N,Final
County,Humboldt County,2008,Annual,60000,55600,4400,7.3%,N,Final
County,Imperial County,2008,Annual,72400,56100,16300,22.6%,N,Final
County,Inyo County,2008,Annual,9090,8490,600,6.6%,N,Final
County,Kern County,2008,Annual,359100,323800,35300,9.8%,N,Final
County,Kings County,2008,Annual,58700,52500,6200,10.6%,N,Final
County,Lake County,2008,Annual,24530,21910,2620,10.7%,N,Final
County,Lassen County,2008,Annual,12820,11590,1230,9.6%,N,Final
County,Los Angeles County,2008,Annual,4929000,4555100,373900,7.6%,N,Final
County,Madera County,2008,Annual,65000,58900,6200,9.5%,N,Final
County,Marin County,2008,Annual,132200,126000,6200,4.7%,N,Final
County,Mariposa County,2008,Annual,9270,8570,700,7.5%,N,Final
County,Mendocino County,2008,Annual,43210,40230,2980,6.9%,N,Final
County,Merced County,2008,Annual,102200,89200,12900,12.6%,N,Final
County,Modoc County,2008,Annual,3940,3560,380,9.7%,N,Final
County,Mono County,2008,Annual,8610,8100,510,5.9%,N,Final
County,Monterey County,2008,Annual,212100,194100,17900,8.5%,N,Final
County,Napa County,2008,Annual,75500,71700,3900,5.1%,N,Final
County,Nevada County,2008,Annual,50350,47030,3320,6.6%,N,Final
County,Orange County,2008,Annual,1615500,1529700,85800,5.3%,N,Final
County,Placer County,2008,Annual,177000,165500,11500,6.5%,N,Final
County,Plumas County,2008,Annual,9810,8770,1040,10.6%,N,Final
County,Riverside County,2008,Annual,911500,833300,78200,8.6%,N,Final
County,Sacramento County,2008,Annual,679400,630300,49100,7.2%,N,Final
County,San Benito County,2008,Annual,24800,22400,2400,9.7%,N,Final
County,San Bernardino County,2008,Annual,862100,792800,69300,8%,N,Final
County,San Diego County,2008,Annual,1545800,1452600,93200,6%,N,Final
County,San Francisco County,2008,Annual,457000,433000,24000,5.3%,N,Final
County,San Joaquin County,2008,Annual,292800,262300,30600,10.4%,N,Final
County,San Luis Obispo County,2008,Annual,136400,128500,7900,5.8%,N,Final
County,San Mateo County,2008,Annual,372400,354200,18200,4.9%,N,Final
County,Santa Barbara County,2008,Annual,218100,206100,12000,5.5%,N,Final
County,Santa Clara County,2008,Annual,868900,816600,52300,6%,N,Final
County,Santa Cruz County,2008,Annual,146100,135300,10800,7.4%,N,Final
County,Shasta County,2008,Annual,82600,74300,8300,10.1%,N,Final
County,Sierra County,2008,Annual,1590,1420,170,10.6%,N,Final
County,Siskiyou County,2008,Annual,19200,17240,1960,10.2%,N,Final
County,Solano County,2008,Annual,211100,196500,14600,6.9%,N,Final
County,Sonoma County,2008,Annual,259600,244700,15000,5.8%,N,Final
County,Stanislaus County,2008,Annual,231700,206000,25700,11.1%,N,Final
County,Sutter County,2008,Annual,41100,36000,5100,12.4%,N,Final
County,Tehama County,2008,Annual,25150,22830,2320,9.2%,N,Final
County,Trinity County,2008,Annual,4850,4230,620,12.8%,N,Final
County,Tulare County,2008,Annual,198900,177400,21500,10.8%,N,Final
County,Tuolumne County,2008,Annual,25770,23700,2060,8%,N,Final
County,Ventura County,2008,Annual,428800,401800,27000,6.3%,N,Final
County,Yolo County,2008,Annual,98300,91000,7300,7.4%,N,Final
County,Yuba County,2008,Annual,27700,24400,3300,11.9%,N,Final
County,Alameda County,2007,Annual,745200,710100,35100,4.7%,N,Final
County,Alpine County,2007,Annual,490,450,40,7.9%,N,Final
County,Amador County,2007,Annual,17700,16680,1030,5.8%,N,Final
County,Butte County,2007,Annual,101200,94500,6700,6.7%,N,Final
County,Calaveras County,2007,Annual,20730,19390,1330,6.4%,N,Final
County,Colusa County,2007,Annual,10220,9020,1200,11.8%,N,Final
County,Contra Costa County,2007,Annual,514300,490200,24100,4.7%,N,Final
County,Del Norte County,2007,Annual,11030,10200,830,7.5%,N,Final
County,El Dorado County,2007,Annual,90400,85700,4700,5.2%,N,Final
County,Fresno County,2007,Annual,418600,382800,35800,8.6%,N,Final
County,Glenn County,2007,Annual,11980,10920,1050,8.8%,N,Final
County,Humboldt County,2007,Annual,59300,55800,3500,5.9%,N,Final
County,Imperial County,2007,Annual,66000,54100,11900,18.1%,N,Final
County,Inyo County,2007,Annual,8890,8450,440,4.9%,N,Final
County,Kern County,2007,Annual,345200,317000,28200,8.2%,N,Final
County,Kings County,2007,Annual,57300,52400,5000,8.7%,N,Final
County,Lake County,2007,Annual,24040,22010,2030,8.4%,N,Final
County,Lassen County,2007,Annual,12440,11420,1010,8.2%,N,Final
County,Los Angeles County,2007,Annual,4864200,4614800,249400,5.1%,N,Final
County,Madera County,2007,Annual,63400,58600,4700,7.5%,N,Final
County,Marin County,2007,Annual,131900,127100,4800,3.7%,N,Final
County,Mariposa County,2007,Annual,9060,8520,550,6%,N,Final
County,Mendocino County,2007,Annual,43120,40740,2370,5.5%,N,Final
County,Merced County,2007,Annual,99800,89800,10000,10.1%,N,Final
County,Modoc County,2007,Annual,3900,3580,310,8.1%,N,Final
County,Mono County,2007,Annual,8130,7740,390,4.8%,N,Final
County,Monterey County,2007,Annual,205500,190800,14700,7.1%,N,Final
County,Napa County,2007,Annual,73200,70300,2900,4%,N,Final
County,Nevada County,2007,Annual,50130,47720,2410,4.8%,N,Final
County,Orange County,2007,Annual,1606200,1543700,62500,3.9%,N,Final
County,Placer County,2007,Annual,172500,164200,8200,4.8%,N,Final
County,Plumas County,2007,Annual,9950,9100,850,8.5%,N,Final
County,Riverside County,2007,Annual,902000,847600,54400,6%,N,Final
County,Sacramento County,2007,Annual,675800,639100,36700,5.4%,N,Final
County,San Benito County,2007,Annual,24000,22300,1700,7.2%,N,Final
County,San Bernardino County,2007,Annual,862200,813900,48300,5.6%,N,Final
County,San Diego County,2007,Annual,1515400,1446300,69000,4.6%,N,Final
County,San Francisco County,2007,Annual,432600,414200,18400,4.2%,N,Final
County,San Joaquin County,2007,Annual,288600,265300,23400,8.1%,N,Final
County,San Luis Obispo County,2007,Annual,134000,128300,5800,4.3%,N,Final
County,San Mateo County,2007,Annual,369500,355400,14100,3.8%,N,Final
County,Santa Barbara County,2007,Annual,213500,204200,9300,4.4%,N,Final
County,Santa Clara County,2007,Annual,843400,803900,39600,4.7%,N,Final
County,Santa Cruz County,2007,Annual,144700,136200,8600,5.9%,N,Final
County,Shasta County,2007,Annual,82500,76400,6200,7.5%,N,Final
County,Sierra County,2007,Annual,1610,1480,130,8%,N,Final
County,Siskiyou County,2007,Annual,18790,17190,1590,8.5%,N,Final
County,Solano County,2007,Annual,208200,197200,11000,5.3%,N,Final
County,Sonoma County,2007,Annual,257300,246100,11200,4.3%,N,Final
County,Stanislaus County,2007,Annual,226900,207200,19700,8.7%,N,Final
County,Sutter County,2007,Annual,41000,37000,4000,9.7%,N,Final
County,Tehama County,2007,Annual,24860,23060,1800,7.2%,N,Final
County,Trinity County,2007,Annual,5020,4500,530,10.4%,N,Final
County,Tulare County,2007,Annual,191600,173900,17700,9.2%,N,Final
County,Tuolumne County,2007,Annual,25780,24180,1600,6.2%,N,Final
County,Ventura County,2007,Annual,423100,402400,20700,4.9%,N,Final
County,Yolo County,2007,Annual,97500,91900,5600,5.7%,N,Final
County,Yuba County,2007,Annual,27300,24800,2500,9.3%,N,Final
County,Alameda County,2006,Annual,733800,701300,32600,4.4%,N,Final
County,Alpine County,2006,Annual,480,450,30,6.4%,N,Final
County,Amador County,2006,Annual,17240,16320,920,5.3%,N,Final
County,Butte County,2006,Annual,99800,93600,6200,6.2%,N,Final
County,Calaveras County,2006,Annual,20600,19390,1210,5.9%,N,Final
County,Colusa County,2006,Annual,9920,8700,1210,12.2%,N,Final
County,Contra Costa County,2006,Annual,510400,488600,21800,4.3%,N,Final
County,Del Norte County,2006,Annual,10790,10050,740,6.9%,N,Final
County,El Dorado County,2006,Annual,91600,87300,4200,4.6%,N,Final
County,Fresno County,2006,Annual,410400,377500,32900,8%,N,Final
County,Glenn County,2006,Annual,11610,10680,930,8%,N,Final
County,Humboldt County,2006,Annual,59400,56100,3300,5.5%,N,Final
County,Imperial County,2006,Annual,63000,53300,9700,15.4%,N,Final
County,Inyo County,2006,Annual,9010,8600,410,4.6%,N,Final
County,Kern County,2006,Annual,336100,310700,25400,7.5%,N,Final
County,Kings County,2006,Annual,55000,50400,4600,8.4%,N,Final
County,Lake County,2006,Annual,24270,22410,1860,7.7%,N,Final
County,Lassen County,2006,Annual,12220,11250,960,7.9%,N,Final
County,Los Angeles County,2006,Annual,4807900,4577600,230300,4.8%,N,Final
County,Madera County,2006,Annual,62700,58400,4400,7%,N,Final
County,Marin County,2006,Annual,130600,126000,4600,3.5%,N,Final
County,Mariposa County,2006,Annual,9010,8500,510,5.7%,N,Final
County,Mendocino County,2006,Annual,43240,40990,2250,5.2%,N,Final
County,Merced County,2006,Annual,97900,88700,9200,9.4%,N,Final
County,Modoc County,2006,Annual,3980,3670,310,7.8%,N,Final
County,Mono County,2006,Annual,8240,7870,360,4.4%,N,Final
County,Monterey County,2006,Annual,203100,189000,14000,6.9%,N,Final
County,Napa County,2006,Annual,71700,68900,2800,3.9%,N,Final
County,Nevada County,2006,Annual,49610,47440,2170,4.4%,N,Final
County,Orange County,2006,Annual,1597800,1543500,54300,3.4%,N,Final
County,Placer County,2006,Annual,168900,161800,7000,4.2%,N,Final
County,Plumas County,2006,Annual,10090,9310,770,7.7%,N,Final
County,Riverside County,2006,Annual,881200,836900,44400,5%,N,Final
County,Sacramento County,2006,Annual,668800,637000,31800,4.8%,N,Final
County,San Benito County,2006,Annual,24200,22400,1700,7.2%,N,Final
County,San Bernardino County,2006,Annual,860000,818600,41400,4.8%,N,Final
County,San Diego County,2006,Annual,1496100,1436800,59300,4%,N,Final
County,San Francisco County,2006,Annual,415700,398300,17500,4.2%,N,Final
County,San Joaquin County,2006,Annual,283600,262600,21000,7.4%,N,Final
County,San Luis Obispo County,2006,Annual,132400,127200,5200,3.9%,N,Final
County,San Mateo County,2006,Annual,364000,350600,13400,3.7%,N,Final
County,Santa Barbara County,2006,Annual,210900,202400,8500,4%,N,Final
County,Santa Clara County,2006,Annual,821600,784800,36800,4.5%,N,Final
County,Santa Cruz County,2006,Annual,143100,135000,8100,5.6%,N,Final
County,Shasta County,2006,Annual,82400,77000,5400,6.6%,N,Final
County,Sierra County,2006,Annual,1590,1470,120,7.4%,N,Final
County,Siskiyou County,2006,Annual,18600,17110,1490,8%,N,Final
County,Solano County,2006,Annual,207800,197700,10100,4.9%,N,Final
County,Sonoma County,2006,Annual,254000,243800,10200,4%,N,Final
County,Stanislaus County,2006,Annual,224300,206400,17800,8%,N,Final
County,Sutter County,2006,Annual,40400,36800,3600,8.9%,N,Final
County,Tehama County,2006,Annual,25050,23430,1620,6.5%,N,Final
County,Trinity County,2006,Annual,5060,4560,500,9.9%,N,Final
County,Tulare County,2006,Annual,187400,171500,15900,8.5%,N,Final
County,Tuolumne County,2006,Annual,25810,24320,1490,5.8%,N,Final
County,Ventura County,2006,Annual,419600,401500,18100,4.3%,N,Final
County,Yolo County,2006,Annual,93600,88800,4800,5.2%,N,Final
County,Yuba County,2006,Annual,26600,24200,2300,8.8%,N,Final
County,Alameda County,2005,Annual,734300,696800,37500,5.1%,N,Final
County,Alpine County,2005,Annual,530,480,40,8%,N,Final
County,Amador County,2005,Annual,17200,16240,960,5.6%,N,Final
County,Butte County,2005,Annual,98300,91700,6600,6.7%,N,Final
County,Calaveras County,2005,Annual,20530,19250,1280,6.2%,N,Final
County,Colusa County,2005,Annual,9880,8630,1250,12.7%,N,Final
County,Contra Costa County,2005,Annual,509900,485200,24700,4.8%,N,Final
County,Del Norte County,2005,Annual,10740,9940,800,7.4%,N,Final
County,El Dorado County,2005,Annual,91100,86700,4400,4.8%,N,Final
County,Fresno County,2005,Annual,407200,370600,36600,9%,N,Final
County,Glenn County,2005,Annual,11540,10570,970,8.4%,N,Final
County,Humboldt County,2005,Annual,59500,55900,3600,6.1%,N,Final
County,Imperial County,2005,Annual,60600,50900,9700,16%,N,Final
County,Inyo County,2005,Annual,9280,8830,450,4.9%,N,Final
County,Kern County,2005,Annual,326700,299400,27300,8.4%,N,Final
County,Kings County,2005,Annual,53800,48800,5100,9.4%,N,Final
County,Lake County,2005,Annual,25990,23930,2060,7.9%,N,Final
County,Lassen County,2005,Annual,12250,11270,980,8%,N,Final
County,Los Angeles County,2005,Annual,4781600,4525200,256400,5.4%,N,Final
County,Madera County,2005,Annual,61900,57000,4900,7.9%,N,Final
County,Marin County,2005,Annual,129100,124100,5000,3.9%,N,Final
County,Mariposa County,2005,Annual,8790,8230,560,6.4%,N,Final
County,Mendocino County,2005,Annual,43840,41330,2520,5.7%,N,Final
County,Merced County,2005,Annual,98700,88900,9900,10%,N,Final
County,Modoc County,2005,Annual,4000,3680,320,7.9%,N,Final
County,Mono County,2005,Annual,8340,7940,400,4.8%,N,Final
County,Monterey County,2005,Annual,206600,191500,15000,7.3%,N,Final
County,Napa County,2005,Annual,71300,68200,3100,4.4%,N,Final
County,Nevada County,2005,Annual,49240,46880,2350,4.8%,N,Final
County,Orange County,2005,Annual,1585900,1526600,59300,3.7%,N,Final
County,Placer County,2005,Annual,164200,157200,7100,4.3%,N,Final
County,Plumas County,2005,Annual,10130,9280,850,8.4%,N,Final
County,Riverside County,2005,Annual,852600,806900,45700,5.4%,N,Final
County,Sacramento County,2005,Annual,664300,631500,32800,4.9%,N,Final
County,San Benito County,2005,Annual,24500,22500,2000,8.1%,N,Final
County,San Bernardino County,2005,Annual,851500,807200,44300,5.2%,N,Final
County,San Diego County,2005,Annual,1489800,1425700,64100,4.3%,N,Final
County,San Francisco County,2005,Annual,413300,392700,20600,5%,N,Final
County,San Joaquin County,2005,Annual,283600,261300,22300,7.9%,N,Final
County,San Luis Obispo County,2005,Annual,131500,125900,5600,4.3%,N,Final
County,San Mateo County,2005,Annual,360300,345000,15300,4.2%,N,Final
County,Santa Barbara County,2005,Annual,213200,204000,9200,4.3%,N,Final
County,Santa Clara County,2005,Annual,815400,772000,43300,5.3%,N,Final
County,Santa Cruz County,2005,Annual,143000,134000,9000,6.3%,N,Final
County,Shasta County,2005,Annual,81700,75800,5900,7.2%,N,Final
County,Sierra County,2005,Annual,1580,1450,130,8.3%,N,Final
County,Siskiyou County,2005,Annual,18650,16970,1680,9%,N,Final
County,Solano County,2005,Annual,208500,197300,11100,5.3%,N,Final
County,Sonoma County,2005,Annual,253400,242200,11200,4.4%,N,Final
County,Stanislaus County,2005,Annual,226600,207600,19000,8.4%,N,Final
County,Sutter County,2005,Annual,40000,36100,3900,9.6%,N,Final
County,Tehama County,2005,Annual,25200,23470,1730,6.9%,N,Final
County,Trinity County,2005,Annual,5170,4640,530,10.2%,N,Final
County,Tulare County,2005,Annual,183300,166000,17300,9.4%,N,Final
County,Tuolumne County,2005,Annual,25980,24310,1670,6.4%,N,Final
County,Ventura County,2005,Annual,416000,396200,19700,4.7%,N,Final
County,Yolo County,2005,Annual,92400,87200,5100,5.5%,N,Final
County,Yuba County,2005,Annual,25700,23400,2300,9%,N,Final
County,Alameda County,2004,Annual,741600,698200,43400,5.9%,N,Final
County,Alpine County,2004,Annual,530,490,40,8.1%,N,Final
County,Amador County,2004,Annual,16910,15930,970,5.8%,N,Final
County,Butte County,2004,Annual,97400,90300,7200,7.4%,N,Final
County,Calaveras County,2004,Annual,19960,18610,1350,6.8%,N,Final
County,Colusa County,2004,Annual,9510,8220,1300,13.6%,N,Final
County,Contra Costa County,2004,Annual,507800,480300,27500,5.4%,N,Final
County,Del Norte County,2004,Annual,10630,9770,850,8%,N,Final
County,El Dorado County,2004,Annual,88800,84200,4700,5.3%,N,Final
County,Fresno County,2004,Annual,404300,362200,42100,10.4%,N,Final
County,Glenn County,2004,Annual,11450,10390,1070,9.3%,N,Final
County,Humboldt County,2004,Annual,60400,56500,3900,6.5%,N,Final
County,Imperial County,2004,Annual,59400,49300,10100,17%,N,Final
County,Inyo County,2004,Annual,9250,8760,490,5.3%,N,Final
County,Kern County,2004,Annual,314400,283400,31000,9.9%,N,Final
County,Kings County,2004,Annual,53200,47300,5800,11%,N,Final
County,Lake County,2004,Annual,25760,23440,2320,9%,N,Final
County,Lassen County,2004,Annual,12180,11260,920,7.6%,N,Final
County,Los Angeles County,2004,Annual,4753500,4445400,308100,6.5%,N,Final
County,Madera County,2004,Annual,61100,55500,5600,9.1%,N,Final
County,Marin County,2004,Annual,129200,123500,5700,4.4%,N,Final
County,Mariposa County,2004,Annual,8570,8000,570,6.7%,N,Final
County,Mendocino County,2004,Annual,43860,41050,2810,6.4%,N,Final
County,Merced County,2004,Annual,97600,87000,10600,10.9%,N,Final
County,Modoc County,2004,Annual,4050,3700,350,8.7%,N,Final
County,Mono County,2004,Annual,8290,7870,420,5%,N,Final
County,Monterey County,2004,Annual,207200,190100,17100,8.3%,N,Final
County,Napa County,2004,Annual,71200,67800,3400,4.7%,N,Final
County,Nevada County,2004,Annual,48700,46120,2580,5.3%,N,Final
County,Orange County,2004,Annual,1569100,1502700,66400,4.2%,N,Final
County,Placer County,2004,Annual,158500,151000,7600,4.8%,N,Final
County,Plumas County,2004,Annual,10400,9380,1020,9.8%,N,Final
County,Riverside County,2004,Annual,817700,768900,48800,6%,N,Final
County,Sacramento County,2004,Annual,659100,622200,36900,5.6%,N,Final
County,San Benito County,2004,Annual,25100,22700,2400,9.5%,N,Final
County,San Bernardino County,2004,Annual,829200,781600,47600,5.7%,N,Final
County,San Diego County,2004,Annual,1478500,1408900,69600,4.7%,N,Final
County,San Francisco County,2004,Annual,418500,394400,24100,5.8%,N,Final
County,San Joaquin County,2004,Annual,281400,256900,24500,8.7%,N,Final
County,San Luis Obispo County,2004,Annual,129600,123700,5900,4.6%,N,Final
County,San Mateo County,2004,Annual,361500,344000,17500,4.8%,N,Final
County,Santa Barbara County,2004,Annual,211000,201000,9900,4.7%,N,Final
County,Santa Clara County,2004,Annual,821600,769000,52600,6.4%,N,Final
County,Santa Cruz County,2004,Annual,143500,133400,10000,7%,N,Final
County,Shasta County,2004,Annual,82400,76200,6300,7.6%,N,Final
County,Sierra County,2004,Annual,1580,1430,150,9.7%,N,Final
County,Siskiyou County,2004,Annual,18970,17180,1790,9.4%,N,Final
County,Solano County,2004,Annual,206300,194300,12000,5.8%,N,Final
County,Sonoma County,2004,Annual,254000,241500,12500,4.9%,N,Final
County,Stanislaus County,2004,Annual,223700,203100,20600,9.2%,N,Final
County,Sutter County,2004,Annual,40000,35800,4200,10.6%,N,Final
County,Tehama County,2004,Annual,25290,23420,1870,7.4%,N,Final
County,Trinity County,2004,Annual,5240,4660,570,10.9%,N,Final
County,Tulare County,2004,Annual,179800,159000,20800,11.6%,N,Final
County,Tuolumne County,2004,Annual,25550,23790,1760,6.9%,N,Final
County,Ventura County,2004,Annual,412300,390300,22000,5.3%,N,Final
County,Yolo County,2004,Annual,91900,86300,5600,6.1%,N,Final
County,Yuba County,2004,Annual,25200,22800,2400,9.7%,N,Final
County,Alameda County,2003,Annual,754400,703000,51400,6.8%,N,Final
County,Alpine County,2003,Annual,550,510,50,8.3%,N,Final
County,Amador County,2003,Annual,16390,15380,1010,6.1%,N,Final
County,Butte County,2003,Annual,98300,90900,7400,7.5%,N,Final
County,Calaveras County,2003,Annual,19850,18400,1460,7.3%,N,Final
County,Colusa County,2003,Annual,9430,8090,1350,14.3%,N,Final
County,Contra Costa County,2003,Annual,508400,477600,30800,6.1%,N,Final
County,Del Norte County,2003,Annual,10310,9440,870,8.5%,N,Final
County,El Dorado County,2003,Annual,87500,82600,4800,5.5%,N,Final
County,Fresno County,2003,Annual,403700,356600,47100,11.7%,N,Final
County,Glenn County,2003,Annual,11120,9990,1130,10.2%,N,Final
County,Humboldt County,2003,Annual,60600,56500,4100,6.8%,N,Final
County,Imperial County,2003,Annual,58600,49600,9100,15.5%,N,Final
County,Inyo County,2003,Annual,9100,8580,520,5.7%,N,Final
County,Kern County,2003,Annual,311300,279400,31900,10.3%,N,Final
County,Kings County,2003,Annual,53100,46800,6300,11.9%,N,Final
County,Lake County,2003,Annual,25860,23510,2350,9.1%,N,Final
County,Lassen County,2003,Annual,12310,11370,940,7.6%,N,Final
County,Los Angeles County,2003,Annual,4739500,4409900,329600,7%,N,Final
County,Madera County,2003,Annual,59000,52900,6100,10.3%,N,Final
County,Marin County,2003,Annual,130600,124300,6400,4.9%,N,Final
County,Mariposa County,2003,Annual,8420,7840,580,6.9%,N,Final
County,Mendocino County,2003,Annual,44970,41900,3070,6.8%,N,Final
County,Merced County,2003,Annual,96800,85800,11100,11.4%,N,Final
County,Modoc County,2003,Annual,4200,3840,360,8.7%,N,Final
County,Mono County,2003,Annual,8270,7860,420,5%,N,Final
County,Monterey County,2003,Annual,208700,190100,18600,8.9%,N,Final
County,Napa County,2003,Annual,70700,67300,3400,4.8%,N,Final
County,Nevada County,2003,Annual,48280,45600,2680,5.5%,N,Final
County,Orange County,2003,Annual,1545800,1472500,73300,4.7%,N,Final
County,Placer County,2003,Annual,152700,145000,7700,5.1%,N,Final
County,Plumas County,2003,Annual,10440,9420,1020,9.8%,N,Final
County,Riverside County,2003,Annual,776000,725700,50300,6.5%,N,Final
County,Sacramento County,2003,Annual,652200,614100,38100,5.8%,N,Final
County,San Benito County,2003,Annual,25500,23000,2500,9.9%,N,Final
County,San Bernardino County,2003,Annual,802200,752300,49900,6.2%,N,Final
County,San Diego County,2003,Annual,1457500,1382300,75300,5.2%,N,Final
County,San Francisco County,2003,Annual,429300,400600,28700,6.7%,N,Final
County,San Joaquin County,2003,Annual,278800,253400,25400,9.1%,N,Final
County,San Luis Obispo County,2003,Annual,127900,121900,6000,4.7%,N,Final
County,San Mateo County,2003,Annual,366900,345600,21200,5.8%,N,Final
County,Santa Barbara County,2003,Annual,207900,197400,10400,5%,N,Final
County,Santa Clara County,2003,Annual,843700,773900,69800,8.3%,N,Final
County,Santa Cruz County,2003,Annual,144200,133100,11100,7.7%,N,Final
County,Shasta County,2003,Annual,82400,76200,6200,7.5%,N,Final
County,Sierra County,2003,Annual,1640,1480,150,9.3%,N,Final
County,Siskiyou County,2003,Annual,19220,17400,1820,9.5%,N,Final
County,Solano County,2003,Annual,205400,192600,12800,6.3%,N,Final
County,Sonoma County,2003,Annual,252900,239200,13700,5.4%,N,Final
County,Stanislaus County,2003,Annual,221700,200000,21700,9.8%,N,Final
County,Sutter County,2003,Annual,39400,35000,4400,11.1%,N,Final
County,Tehama County,2003,Annual,25610,23660,1960,7.6%,N,Final
County,Trinity County,2003,Annual,5380,4820,560,10.4%,N,Final
County,Tulare County,2003,Annual,181200,159100,22100,12.2%,N,Final
County,Tuolumne County,2003,Annual,25300,23530,1770,7%,N,Final
County,Ventura County,2003,Annual,409700,386200,23500,5.7%,N,Final
County,Yolo County,2003,Annual,91300,85500,5800,6.3%,N,Final
County,Yuba County,2003,Annual,25200,22500,2700,10.7%,N,Final
County,Alameda County,2002,Annual,771400,720100,51300,6.7%,N,Final
County,Alpine County,2002,Annual,560,520,40,7.5%,N,Final
County,Amador County,2002,Annual,16510,15570,950,5.7%,N,Final
